hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,date_id,booking_id
Resort Hotel,0,55,2024,October,41,5,1,4,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,E,1,No Deposit,0,Contract,52.8,0,0,Check-Out,10-10-2024,DT284,1
Resort Hotel,0,53,2024,October,41,5,1,4,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,59.6,0,2,Check-Out,10-10-2024,DT284,2
Resort Hotel,0,16,2024,October,41,9,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,48,0,0,Check-Out,10-10-2024,DT284,3
City Hotel,0,349,2024,October,41,4,1,5,1,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,162,Transient-Party,96.67,0,0,Check-Out,10-10-2024,DT284,4
City Hotel,0,77,2024,October,41,7,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,132.3,0,3,Check-Out,10-10-2024,DT284,5
City Hotel,0,338,2024,October,41,7,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,68,Transient-Party,90.67,0,1,Check-Out,10-10-2024,DT284,6
City Hotel,0,35,2024,October,41,8,0,2,2,0,0,BB,IRN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,103.05,0,3,Check-Out,10-10-2024,DT284,61036
Resort Hotel,0,59,2024,October,40,3,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Contract,67.14,1,0,Check-Out,10-10-2024,DT284,61037
City Hotel,1,160,2024,March,10,6,1,1,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.2,0,2,Canceled,10-10-2024,DT284,61038
City Hotel,1,160,2024,March,10,6,1,1,3,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,140,0,2,Canceled,10-10-2024,DT284,61039
City Hotel,1,136,2024,February,8,22,1,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,96.9,0,0,Canceled,10-10-2024,DT284,61040
City Hotel,1,126,2024,February,7,12,2,4,2,2,0,BB,DNK,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,169.65,0,0,Canceled,10-10-2024,DT284,61041
City Hotel,0,2,2024,October,41,8,1,1,1,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,160,0,2,Check-Out,10-10-2024,DT284,61042
Resort Hotel,1,259,2024,June,25,24,2,3,2,0,0,BB,CN,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,116.1,0,0,Canceled,10-10-2024,DT284,61043
Resort Hotel,0,8,2024,October,41,6,1,3,2,0,1,BB,GBR,Groups,Corporate,0,0,0,A,C,2,No Deposit,0,Transient-Party,70,0,1,Check-Out,10-10-2024,DT284,61044
Resort Hotel,0,8,2024,October,41,6,1,3,2,0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,56,1,1,Check-Out,10-10-2024,DT284,61045
Resort Hotel,0,0,2024,October,41,9,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,67,0,0,Check-Out,10-10-2024,DT284,61046
Resort Hotel,0,7,2024,October,41,7,0,3,2,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,70.5,0,1,Check-Out,10-10-2024,DT284,61047
City Hotel,0,35,2024,October,41,8,0,2,2,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,103.05,0,3,Check-Out,10-10-2024,DT284,61048
City Hotel,0,35,2024,October,41,8,0,2,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,94.05,0,1,Check-Out,10-10-2024,DT284,61049
Resort Hotel,0,90,2024,October,41,5,1,4,1,0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,47,0,0,Check-Out,10-10-2024,DT284,61050
City Hotel,0,28,2024,October,41,7,0,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Contract,107.53,0,1,Check-Out,10-10-2024,DT284,61051
City Hotel,0,33,2024,October,41,7,0,3,2,0,1,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,75.6,0,1,Check-Out,10-10-2024,DT284,61052
Resort Hotel,0,207,2024,September,40,29,2,9,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,E,1,No Deposit,0,Contract,59.89,0,1,Check-Out,10-10-2024,DT284,61053
City Hotel,0,34,2024,October,41,7,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,72.76,0,1,Check-Out,10-10-2024,DT284,61054
City Hotel,0,34,2024,October,41,7,0,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,85.5,0,1,Check-Out,10-10-2024,DT284,61055
Resort Hotel,0,12,2024,October,40,3,2,5,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,116.71,0,1,Check-Out,10-10-2024,DT284,61056
City Hotel,0,34,2024,October,41,7,0,3,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,0,Contract,100.2,0,0,Check-Out,10-10-2024,DT284,61057
City Hotel,0,40,2024,October,41,7,0,3,3,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,99.71,0,2,Check-Out,10-10-2024,DT284,61058
Resort Hotel,0,215,2024,October,41,4,1,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,48.08,0,0,Check-Out,10-10-2024,DT284,61059
Resort Hotel,0,207,2024,October,41,4,1,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,70,0,0,Check-Out,10-10-2024,DT284,61060
Resort Hotel,0,253,2024,October,40,3,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Contract,54.4,0,0,Check-Out,10-10-2024,DT284,61061
City Hotel,0,12,2024,October,42,9,1,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,B,0,No Deposit,0,Transient,65,0,0,Check-Out,10-10-2024,DT284,61062
Resort Hotel,0,70,2024,October,40,3,2,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,40.96,0,0,Check-Out,10-10-2024,DT284,61063
